"","gamma","nchain","est","var","sample_var","mse","bias"
"1",1.15,1,3.92034977264286e-06,1.44223718017788e-13,6.11837460766748e-13,6.22743707816726e-13,1.07322339290314e-07
"2",1.15,2,3.87532640573098e-06,7.00450985696812e-14,2.95457035578601e-13,2.99042740502431e-13,6.22989723784352e-08
"3",1.15,3,3.84670902469152e-06,4.63677198332878e-14,2.14673230906536e-13,2.15593007270755e-13,3.36815913389758e-08
"4",1.15,4,3.84701848057756e-06,3.48485633834159e-14,1.58050389219717e-13,1.59047730121951e-13,3.39910472250137e-08
