"","gamma1","gamma2","dgamma","sbs","nchains","est","var","sample_var","mse"
"230",2,1.5,-0.5,10,2,1.03770010420386e-10,8.31010112670087e-22,1.40679899535639e-20,2.28467018391608e-18
"231",2,1.5,-0.5,10,5,7.99106003116396e-11,7.38143000283678e-22,1.10917503502656e-20,2.35423238316645e-18
"232",2,1.5,-0.5,10,10,1.33432542989729e-10,1.02619255577532e-21,2.10731803323959e-20,2.203015519727e-18
"233",2,1.5,-0.5,50,1,1.67518839178947e-09,5.41147922488185e-20,4.04385463068932e-18,3.96713434125826e-18
"234",2,1.5,-0.5,50,2,4.16935060723351e-10,8.13599199246863e-21,1.6861914660863e-19,1.59035758605798e-18
"235",2,1.5,-0.5,50,5,5.27774729651559e-10,1.17652330368442e-20,4.52882125527771e-19,1.61658436522075e-18
"236",2,1.5,-0.5,50,10,4.14092101876552e-10,7.00891629883098e-21,2.6039345920128e-19,1.68709222995712e-18
"237",2,1.5,-0.5,100,1,1.99689081303286e-09,6.02654844524792e-20,3.65810527093404e-18,3.73407483384551e-18
"238",2,1.5,-0.5,100,2,6.30863349972419e-10,1.25347174396832e-20,3.76497408498733e-19,1.329076945362e-18
"239",2,1.5,-0.5,100,5,1.06854558724235e-09,3.31956156627231e-20,1.41965517022006e-18,1.68520986563963e-18
"240",2,1.5,-0.5,100,10,1.10976850196614e-09,3.577153417879e-20,1.72504135169604e-18,1.94148803561555e-18
