"","gamma","nchain","est","var","sample_var","mse","bias"
"1",0.75,1,3.81825139088116e-06,7.89298943520285e-13,9.1946193766086e-13,9.1856976545546e-13,5.22395752861965e-09
"2",0.75,2,3.85540196175359e-06,4.05253344113361e-13,4.60897710768303e-13,4.62232413714745e-13,4.23745284010427e-08
"3",0.75,3,3.808945081612e-06,2.68717361469951e-13,3.19467217711654e-13,3.19164416089676e-13,4.08235174054748e-09
"4",0.75,4,3.82908241720879e-06,2.00393316509319e-13,2.27594800827621e-13,2.27624968533418e-13,1.6054983856244e-08
"5",0.75,5,3.81653901514558e-06,1.61584258635893e-13,1.83966910305911e-13,1.83795274602294e-13,3.51158179303928e-09
