"","gamma","nchain","est","var","sample_var","mse","bias"
"1",0.5,1,3.88141797330106e-06,3.49225300566874e-12,3.36886854547767e-12,3.37017694288664e-12,6.83905399485157e-08
"2",0.5,2,3.85749887543281e-06,1.75730565816104e-12,1.7477709228169e-12,1.74800086105478e-12,4.44714420802603e-08
"3",0.5,3,3.77713790380584e-06,1.13332883099476e-12,1.19746257708347e-12,1.19755317283747e-12,3.58895295467085e-08
"4",0.5,4,3.78544298771141e-06,8.56421166041681e-13,8.81186767802648e-13,8.81066482676175e-13,2.75844456411397e-08
"5",0.5,5,3.839639152087e-06,6.96877752026007e-13,6.77391735117537e-13,6.77422526956421e-13,2.66117187344583e-08
