"","gamma","nchain","est","var","sample_var","mse","bias"
"1",1.5,1,4.66290366386712e-06,6.8372654013732e-14,3.11931744649385e-12,3.83848773624101e-12,8.49876230514571e-07
"2",1.5,2,4.33196129720507e-06,2.89482967571381e-14,1.82093125863467e-12,2.08840268242894e-12,5.18933863852523e-07
"3",1.5,3,4.18467854725034e-06,1.79949939782901e-14,1.32258075600269e-12,1.45938272570816e-12,3.71651113897798e-07
"4",1.5,4,4.06187534334214e-06,1.26220932659732e-14,1.02489664410711e-12,1.08579702976919e-12,2.48847909989594e-07
"5",1.5,5,4.05483602364121e-06,1.01091929098822e-14,8.67195752871864e-13,9.24799951456383e-13,2.41808590288665e-07
