"","gamma1","omega","sbs","nchains","est","var","mse"
"59",1.5,1.5,50,5,9.78500031217644e-06,3.69856695816608e-14,4.36447563286987e-11
"60",1.5,1.5,50,10,8.39854994195207e-06,2.321055264958e-14,3.40106199067774e-11
"61",1.5,1.5,100,1,4.13893567777885e-06,5.15363486373654e-14,1.87801006285653e-12
"62",1.5,1.5,100,2,7.9451171687227e-06,5.43183587233069e-14,2.20652964067955e-11
"63",1.5,1.5,100,5,8.38205711050805e-06,4.96440027429846e-14,2.90011413995058e-11
"64",1.5,1.5,100,10,9.27310724481534e-06,3.97856947583898e-14,3.8844041329529e-11
"65",2,1.5,1,1,4.62196816066598e-06,3.30517119550669e-14,2.62441064742046e-11
"66",2,1.5,1,2,4.92663398441675e-06,2.81091562033303e-14,2.51545553341406e-11
"67",2,1.5,1,5,8.64199964469411e-08,6.61870491031439e-17,1.38959959182345e-11
"68",2,1.5,1,10,6.73460435766698e-09,6.91720470034331e-20,1.44879108851148e-11
"69",2,1.5,10,1,4.36743230366396e-06,2.93419661685349e-14,2.267180968387e-11
"70",2,1.5,10,2,3.90854133293941e-06,1.78316090383107e-14,1.86120515424295e-11
"71",2,1.5,10,5,7.31202264237734e-07,2.68895531531282e-15,1.03806211724685e-11
"72",2,1.5,10,10,1.27239433407142e-07,1.3667398051509e-16,1.36046805244508e-11
"73",2,1.5,50,1,3.97644779185553e-06,2.9037778208827e-14,2.30973070321062e-11
"74",2,1.5,50,2,6.02391694374984e-06,3.1653801483811e-14,3.89984218606136e-11
"75",2,1.5,50,5,3.02151993714485e-06,1.93355022387708e-14,1.52565562232558e-11
"76",2,1.5,50,10,1.57411796650348e-06,6.28662796891475e-15,8.75771071978792e-12
"77",2,1.5,100,1,4.60666923366126e-06,2.82852630046569e-14,1.96125891606648e-11
"78",2,1.5,100,2,4.40693931427688e-06,1.68892862807936e-14,1.74726363124451e-11
"79",2,1.5,100,5,4.19089861476641e-06,2.57084435259081e-14,2.10357818177372e-11
"80",2,1.5,100,10,4.14321378387244e-06,2.58269681442623e-14,2.15399419045428e-11
"81",2.5,1.5,1,1,6.93200944525734e-06,6.55099506489569e-13,6.19712716366407e-10
"82",2.5,1.5,1,2,1.3997106736839e-06,8.57517542127789e-14,1.8647770115821e-11
"83",2.5,1.5,1,5,2.40711775042558e-09,2.97950641569931e-19,1.45208736512769e-11
"84",2.5,1.5,1,10,3.68484043249316e-10,8.28063562979449e-22,1.453636923132e-11
"85",2.5,1.5,10,1,3.20619580952453e-06,5.07237678234034e-14,4.28278047226408e-11
"86",2.5,1.5,10,2,9.80242981558221e-07,8.05251155361675e-14,2.72233477972293e-11
"87",2.5,1.5,10,5,1.370258518979e-07,1.97416699392285e-15,1.36300942746487e-11
"88",2.5,1.5,10,10,2.34723418506946e-08,3.08992315408477e-16,1.43691430095132e-11
"89",2.5,1.5,50,1,5.51675955698987e-06,2.10844995193036e-13,2.15632020230545e-10
"90",2.5,1.5,50,2,2.96481009199673e-06,1.70947968113847e-13,7.24375102264082e-11
"91",2.5,1.5,50,5,6.56216742480904e-07,1.37992712640408e-14,1.35493748498682e-11
"92",2.5,1.5,50,10,6.32754137994012e-07,1.11839603493583e-14,1.20240907918498e-11
"93",2.5,1.5,100,1,8.56721651310933e-06,5.92970084071676e-13,5.58039507916095e-10
"94",2.5,1.5,100,2,2.84108108280092e-06,1.06335985264555e-13,4.91720812741377e-11
"95",2.5,1.5,100,5,2.22726548911175e-06,1.35034041324072e-13,5.35279856352343e-11
"96",2.5,1.5,100,10,1.57267733989035e-06,6.45129593173737e-14,2.56080250380011e-11
